Date,precip,River_Level,temp,humidity,windspeed,Flood
01-07-2023,2.358,205.7587785,32.10769987,70.20825762,9.340984336,2
02-07-2023,1.607,203.7290684,31.25705242,73.14341023,11.07133771,0
03-07-2023,2.537,204.0810338,30.82652758,63.93665026,14.43368213,0
04-07-2023,3.570,202.2903022,30.54834446,63.03793376,8.445189345,0
05-07-2023,1.495,203.3467407,28.78221701,83.12525822,7.574519191,0
06-07-2023,1.496,204.1331071,29.92023369,88.56240029,8.494728869,0
07-07-2023,3.637,202.6188077,30.30904184,74.27989878,12.74620635,0
08-07-2023,2.678,204.4508376,32.58568334,85.03532898,10.98625333,0
09-07-2023,1.217,203.2792336,31.51542743,78.61636025,8.410719389,0
10-07-2023,2.412,203.6499675,28.35543977,68.54880245,11.5398023,0
11-07-2023,1.224,204.6779521,31.48612595,78.61395606,10.29123265,0
12-07-2023,1.221,206.2227338,30.42237658,90.38036566,12.90593497,2
13-07-2023,2.058,203.9838033,29.984617,74.64173961,7.893840718,1
14-07-2023,0.000,202.7307469,31.91751443,90.64643656,9.01701356,0
15-07-2023,0.000,204.9870539,32.54649928,48.80254896,8.823675541,0
16-07-2023,1.108,202.5349876,32.39692018,83.21902504,5.609455156,0
17-07-2023,0.575,204.2506363,29.74117372,75.87047068,10.88836083,0
18-07-2023,2.143,201.6483959,30.53618144,72.0099265,10.78316582,0
19-07-2023,0.699,202.4061767,31.49689515,75.91760777,10.01534037,0
20-07-2023,0.104,204.2362335,32.46331769,55.12431085,9.2962386,0
21-07-2023,4.803,208.630889,33.63088896,90.39692018,12.23623348,2
22-07-2023,4.161,207.2903022,26.54834446,80.03793376,13.44518935,2
23-07-2023,10.66,208.66392736,24.23684542,85.343434343,50.2432113,2
24-07-2023,4.214,204.7890322,29.90348761,82.21538476,11.33029412,1
25-07-2023,5.102,207.9938438,28.74329384,89.50138471,12.23811128,2
26-07-2023,4.487,205.3847392,30.41294957,84.20394829,10.38573945,1
27-07-2023,6.781,206.9256372,27.12849305,91.49328474,13.03984748,2
28-07-2023,3.930,203.9834739,31.9238472,77.39283749,9.58328475,1
29-07-2023,7.421,207.1938475,28.8238473,88.39283748,12.20394875,2
30-07-2023,5.582,204.7393847,29.1838475,86.28473829,11.20394838,1
